Country,Code,Year,Homicide Rate
17,17,1950,0.44516248
17,17,1951,0.59933466
17,17,1952,0.7944049
17,17,1953,0.8004144
17,17,1954,0.61997133
17,17,1955,0.67838836
17,17,1956,0.73127246
17,17,1957,0.5674847
17,17,1958,0.8044544
17,17,1959,0.58357495
17,17,1960,0.6602575
17,17,1961,0.45833752
17,17,1962,0.7017824
17,17,1963,0.5358421
17,17,1964,0.56166613
17,17,1965,0.79279935
17,17,1966,0.723983
17,17,1967,0.8600465
17,17,1968,0.73978394
17,17,1969,0.9035819
17,17,1970,1.1120888
17,17,1971,1.189985
17,17,1972,1.1101741
17,17,1973,1.1633302
17,17,1974,1.2768247
17,17,1975,1.3681202
17,17,1976,1.270196
17,17,1977,1.2577877
17,17,1978,1.2842673
17,17,1979,1.5717214
17,17,1980,0.7883693
17,17,1981,1.3283784
17,17,1982,1.2798116
17,17,1983,1.1277555
17,17,1984,1.2083158
17,17,1985,1.1817487
17,17,1986,1.2286924
17,17,1987,1.1214715
17,17,1988,0.7702704
17,17,1989,1.2508569
17,17,1990,1.1743277
17,17,1991,1.2162302
17,17,1992,1.0390873
17,17,1993,0.83984
17,17,1994,1.0868771
17,17,1995,0.892364
17,17,1996,1.1892034
17,17,1997,0.94936985
17,17,1998,0.99917054
17,17,1999,0.8128887
17,17,2000,0.9522207
17,17,2001,0.9664134
17,17,2002,1.0063232
17,17,2003,0.80770266
17,17,2004,0.886425
17,17,2005,1.0411737
17,17,2006,1.1193699
17,17,2007,1.1198184
17,17,2008,1.1060294
17,17,2009,1.2956405
17,17,2010,0.9783028
17,17,2011,0.97904676
17,17,2012,0.67429835
17,17,2013,0.69958687
17,17,2014,0.6224569
17,17,2015,0.5443901
17,17,2016,0.4781397
17,17,2017,0.67458093
17,17,2018,0.44660607
17,17,2019,0.55523235
18,21,1980,1.0744543
18,21,2011,5.7169995
19,19,1955,0.6129201
19,19,1956,0.871936
19,19,1957,1.1719898
19,19,1958,1.119671
19,19,1959,1.1965542
19,19,1960,1.1951259
19,19,1961,1.4371642
19,19,1962,0.47686273
19,19,1963,0.86419684
19,19,1964,1.0306256
19,19,1965,0.31472102
19,19,1966,1.5246085
19,19,1967,0.5873572
19,19,1968,1.9516573
19,19,1969,1.4181163
19,19,1970,1.2551776
19,19,1971,1.1182879
19,19,1972,1.2929097
19,19,1973,1.1603703
19,19,1974,0.78840995
19,19,1975,0.8038472
19,19,1976,0.7999526
19,19,1977,0.69716895
19,19,1978,0.8732364
19,19,1979,0.89029205
19,19,1980,1.0854264
19,19,1981,1.083167
19,19,1982,0.9632436
19,19,1983,1.1382169
19,19,1984,1.0381173
19,19,1985,0.80110186
19,19,1986,0.8957328
19,19,1987,0.65917677
19,19,1988,1.041768
19,19,1989,1.055133
19,19,1990,1.029307
19,19,1991,1.0788565
19,19,1992,0.8648375
19,19,1993,0.65415037
19,19,1994,0.98524183
19,19,1995,1.1104007
19,19,1996,1.1620255
19,19,1997,0.9754821
19,19,1998,1.1035433
19,19,1999,0.9754316
19,19,2000,2.5444982
19,19,2001,2.2001758
19,19,2002,2.3003354
19,19,2003,1.9194462
19,19,2004,1.8751175
19,19,2005,2.2101982
19,19,2006,2.4375892
19,19,2007,1.9202402
19,19,2008,1.8392503
19,19,2009,2.596417
19,19,2010,2.0875142
19,19,2011,2.087073
19,19,2012,2.1463318
19,19,2013,1.901566
19,19,2014,2.0179517
19,19,2015,2.0930982
19,19,2016,1.4850557
19,19,2017,1.054191
19,19,2018,0.888714
20,20,1953,6.59537
20,20,1954,5.167311
20,20,1955,8.189278
20,20,1956,10.675334
20,20,1957,9.036288
20,20,1958,11.60938
20,20,1959,8.592044
20,20,1960,7.440145
20,20,1961,7.5392895
20,20,1962,7.0841665
20,20,1963,6.970743
20,20,1964,5.573949
20,20,1965,5.128079
20,20,1966,4.353892
20,20,1967,4.433136
20,20,1968,3.413272
20,20,1969,2.892082
20,20,1972,3.7941566
20,20,1974,4.3590574
20,20,1975,3.5671942
20,20,1976,3.7220147
20,20,1977,4.606129
20,20,1984,6.383465
20,20,1985,8.516963
20,20,1986,9.518205
20,20,1987,10.406139
20,20,1988,13.512414
20,20,1989,16.600952
20,20,1990,20.875662
20,20,1991,25.514631
20,20,1992,25.34469
20,20,1993,26.239773
20,20,1994,27.269388
20,20,1995,23.557579
20,20,1996,23.64443
20,20,1997,20.779501
20,20,1998,22.233013
20,20,1999,23.629984
20,20,2000,24.967615
20,20,2001,25.753956
20,20,2002,26.301216
20,20,2003,17.508762
20,20,2004,15.348147
20,20,2005,13.372601
20,20,2006,12.790674
20,20,2007,11.420619
20,20,2008,11.337844
20,20,2009,14.675962
20,20,2010,14.8668
20,20,2011,14.307464
20,20,2012,13.750832
20,20,2013,13.354591
20,20,2014,12.299517
20,20,2015,11.372407
20,20,2016,10.243218
20,20,2017,10.095765
20,20,2018,9.382368
20,20,2019,10.208338
21,22,1961,0.5157996
21,22,1962,0.49591798
21,22,1963,0.3581525
21,22,1964,0.4607557
21,22,1965,0.8913043
21,22,1966,0.7564321
21,22,1967,0.63075167
21,22,1968,0.4105499
21,22,1969,1.0049443
21,22,1970,1.182287
21,22,1971,1.2574832
21,22,1972,1.2367572
21,22,1973,1.2181295
21,22,1974,0.73889214
21,22,1975,1.3660953
21,22,1976,2.155457
21,22,1977,0.8856368
21,22,1978,1.0480075
21,22,1979,0.7748728
21,22,1980,3.0551064
21,22,1981,1.4218957
21,22,1982,1.1534519
21,22,1983,1.4595296
21,22,1984,1.0362917
21,22,1985,1.4871786
21,22,1986,1.9196982
21,22,1987,1.8826591
21,22,1988,0.88575137
21,22,1989,1.8807367
21,22,1990,1.418142
21,22,1991,0.9038379
21,22,1992,1.1596583
21,22,1993,1.2726873
21,22,1994,0.9878371
21,22,1995,1.2321397
21,22,1996,1.3435838
21,22,1997,1.5178509
21,22,1998,1.5035436
21,22,1999,1.8658643
21,22,2000,2.0412936
21,22,2001,1.6028289
21,22,2002,1.2322313
21,22,2003,2.6545749
21,22,2004,2.2929256
21,22,2005,2.3052356
21,22,2006,1.6300521
21,22,2007,2.0188637
21,22,2008,2.6015706
21,22,2009,3.7649474
21,22,2010,4.045705
21,22,2011,4.4607444
21,22,2012,2.3427434
21,22,2013,2.7518735
21,22,2014,3.2991083
21,22,2015,3.4554112
21,22,2016,4.4173455
21,22,2017,3.1012936
21,22,2018,3.5993185
21,22,2019,2.7391012
21,22,2020,3.3908532
22,46,1985,0.9840664
22,46,1986,1.139132
22,46,1987,0.99115205
22,46,1988,0.6890253
22,46,1989,0.84683585
22,46,1990,0.38766482
22,46,1991,1.1002077
22,46,1992,1.7639385
22,46,1993,1.3827423
